DatasetID,Attribute Name,Variable Name,Data Type,Value
ArgoFloats,C_format,pres,['String'],['%7.1f']
ArgoFloats,C_format,pres_adjusted,['String'],['%7.1f']
ArgoFloats,C_format,pres_adjusted_error,['String'],['%7.1f']
ArgoFloats,C_format,psal,['String'],['%9.3f']
ArgoFloats,C_format,psal_adjusted,['String'],['%9.3f']
ArgoFloats,C_format,psal_adjusted_error,['String'],['%9.3f']
ArgoFloats,C_format,temp,['String'],['%9.3f']
ArgoFloats,C_format,temp_adjusted,['String'],['%9.3f']
ArgoFloats,C_format,temp_adjusted_error,['String'],['%9.3f']
ArgoFloats,Conventions,NC_GLOBAL,['String'],"['Argo-3.1, CF-1.6, COARDS, ACDD-1.3']"
ArgoFloats,Easternmost_Easting,NC_GLOBAL,['double'],['180.0']
ArgoFloats,FORTRAN_format,pres,['String'],['F7.1']
ArgoFloats,FORTRAN_format,pres_adjusted,['String'],['F7.1']
ArgoFloats,FORTRAN_format,pres_adjusted_error,['String'],['F7.1']
ArgoFloats,FORTRAN_format,psal,['String'],['F9.3']
ArgoFloats,FORTRAN_format,psal_adjusted,['String'],['F9.3']
ArgoFloats,FORTRAN_format,psal_adjusted_error,['String'],['F9.3']
ArgoFloats,FORTRAN_format,temp,['String'],['F9.3']
ArgoFloats,FORTRAN_format,temp_adjusted,['String'],['F9.3']
ArgoFloats,FORTRAN_format,temp_adjusted_error,['String'],['F9.3']
ArgoFloats,Northernmost_Northing,NC_GLOBAL,['double'],['89.97058333333334']
ArgoFloats,Southernmost_Northing,NC_GLOBAL,['double'],['-99.999']
ArgoFloats,Westernmost_Easting,NC_GLOBAL,['double'],['-179.99942']
ArgoFloats,_CoordinateAxisType,latitude,['String'],['Lat']
ArgoFloats,_CoordinateAxisType,longitude,['String'],['Lon']
ArgoFloats,_CoordinateAxisType,pres,['String'],['Height']
ArgoFloats,_CoordinateAxisType,time,['String'],['Time']
ArgoFloats,_FillValue,config_mission_number,['int'],['99999']
ArgoFloats,_FillValue,cycle_number,['int'],['99999']
ArgoFloats,_FillValue,latitude,['double'],['99999.0']
ArgoFloats,_FillValue,longitude,['double'],['99999.0']
ArgoFloats,_FillValue,pres,['float'],['99999.0']
ArgoFloats,_FillValue,pres_adjusted,['float'],['99999.0']
ArgoFloats,_FillValue,pres_adjusted_error,['float'],['99999.0']
ArgoFloats,_FillValue,psal,['float'],['99999.0']
ArgoFloats,_FillValue,psal_adjusted,['float'],['99999.0']
ArgoFloats,_FillValue,psal_adjusted_error,['float'],['99999.0']
ArgoFloats,_FillValue,temp,['float'],['99999.0']
ArgoFloats,_FillValue,temp_adjusted,['float'],['99999.0']
ArgoFloats,_FillValue,temp_adjusted_error,['float'],['99999.0']
ArgoFloats,actual_range,config_mission_number,['int'],"['-2147483648, 1768910368']"
ArgoFloats,actual_range,cycle_number,['int'],"['0, 3253']"
ArgoFloats,actual_range,date_creation,['double'],"['1.076437173E9, 1.724238528E9']"
